date,daily_funding,daily_funding_bps,annualized_funding_bps,perp_close,spot_close,basis_bps,net_carry_bps
2025-12-26,-0.00013918300000000003,-1.3918300000000003,-508.0179500000001,79.119,76.48600006103516,344.24599755036644,-345.63782755036647
2025-12-29,-0.0004996529,-4.996529000000001,-1823.7330850000003,72.675,69.85600280761719,403.54401613076874,-408.54054513076875
2025-12-30,9.663960000000001e-05,0.9663960000000001,352.73454000000004,75.25,77.3740005493164,-274.51088663337464,275.4772826333746
2025-12-31,0.0003664558,3.664558,1337.5636700000002,71.572,70.13400268554688,205.03568303388283,-201.37112503388283
2026-01-02,0.0013768261,13.768261,5025.4152650000005,73.15,70.55599975585938,367.65126326839555,-353.88300226839556
2026-01-05,0.0011857596,11.857596,4328.02254,76.176,76.16400146484375,1.575355144883018,10.282240855116981
2026-01-06,0.0001903312,1.9033120000000001,694.7088800000001,82.553,80.52999877929688,251.2108843124939,-249.3075723124939
2026-01-07,0.0020263635,20.263635,7396.226775,78.799,77.13500213623047,215.72539284185157,-195.46175784185158
2026-01-08,0.0011168701,11.168701,4076.5758650000007,76.756,74.71600341796875,273.03341837214,-261.86471737214
2026-01-09,0.0013547096,13.547096,4944.6900399999995,80.046,78.88400268554688,147.3045579450588,-133.7574619450588
2026-01-12,0.0010389188,10.389188,3792.0536200000006,84.501,84.61000061035156,-12.882710030168953,23.271898030168956
2026-01-13,0.0007429136,7.429136,2711.63464,87.81,85.87699890136719,225.08950281936794,-217.66036681936794
2026-01-14,0.0002757478,2.7574780000000003,1006.47947,92.257,90.86900329589844,152.74699333740986,-149.98951533740987
2026-01-15,0.00013829,1.3829,504.7585,91.44,91.8759994506836,-47.45520628786499,48.83810628786499
