date,daily_funding,daily_funding_bps,ann_funding_bps,perp_close,spot_close,basis_bps,ann_basis_bps,ann_total_bps
2025-12-26,-0.00013918300000000003,-1.3918300000000003,-508.0179500000001,79.119,76.48600006103516,344.24599755036644,4188.3263035294585,3680.3083535294586
2025-12-29,-0.0004996529,-4.996529000000001,-1823.7330850000003,72.675,69.85600280761719,403.54401613076874,4909.785529591019,3086.052444591019
2025-12-30,9.663960000000001e-05,0.9663960000000001,352.73454000000004,75.25,77.3740005493164,-274.51088663337464,-3339.882454039391,-2987.1479140393913
2025-12-31,0.0003664558,3.664558,1337.56367,71.572,70.13400268554688,205.03568303388283,2494.6008102455744,3832.1644802455744
2026-01-02,0.0013768261,13.768261,5025.4152650000005,73.15,70.55599975585938,367.65126326839555,4473.090369765479,9498.505634765479
2026-01-05,0.0011857596,11.857596,4328.02254,76.176,76.16400146484375,1.575355144883018,19.166820929410054,4347.18936092941
2026-01-06,0.0001903312,1.9033120000000001,694.70888,82.553,80.52999877929688,251.2108843124939,3056.399092468676,3751.107972468676
2026-01-07,0.0020263635,20.263635,7396.226775,78.799,77.13500213623047,215.72539284185157,2624.6589462425272,10020.885721242528
2026-01-08,0.0011168701,11.168701,4076.5758650000002,76.756,74.71600341796875,273.03341837214,3321.90659019437,7398.48245519437
2026-01-09,0.0013547096,13.547096,4944.6900399999995,80.046,78.88400268554688,147.3045579450588,1792.2054549982154,6736.895494998214
2026-01-12,0.0010389188,10.389188,3792.05362,84.501,84.61000061035156,-12.882710030168953,-156.73963870038892,3635.3139812996114
2026-01-13,0.0007429136,7.429136,2711.6346399999998,87.81,85.87699890136719,225.08950281936794,2738.5889509689764,5450.223590968976
2026-01-14,0.0002757478,2.7574780000000003,1006.4794700000001,92.257,90.86900329589844,152.74699333740986,1858.4217522718197,2864.9012222718197
2026-01-15,0.00013829,1.3829,504.7585,91.44,91.8759994506836,-47.45520628786499,-577.3716765023573,-72.6131765023573
