date,daily_funding,daily_funding_bps,annualized_funding_bps,perp_close,spot_close,basis_bps,net_carry_bps
2025-12-22,0.0004298579,4.298579,1568.9813350000002,4463.0,4444.60009765625,41.39833042224144,-37.09975142224144
2025-12-23,0.000736677,7.366770000000001,2688.87105,4507.2,4482.7998046875,54.430704862138676,-47.06393486213867
2025-12-24,0.0002695015,2.695015,983.680475,4485.0,4480.60009765625,9.819895210133879,-7.124880210133879
2025-12-26,0.0007397274,7.3972739999999995,2700.00501,4537.4,4529.10009765625,18.325720705631404,-10.928446705631405
2025-12-29,0.000337785,3.37785,1232.91525,4347.4,4325.10009765625,51.559274560683214,-48.18142456068321
2025-12-30,0.0004375583,4.375583,1597.0877950000001,4337.3,4370.10009765625,-75.05571250837252,79.43129550837253
2025-12-31,0.0001027945,1.027945,375.199925,4318.7,4325.60009765625,-15.951769697778762,16.97971469777876
2026-01-02,-0.0001080197,-1.080197,-394.271905,4335.2,4314.39990234375,48.21087086746501,-49.29106786746501
2026-01-05,-0.0003415511,-3.415511,-1246.6615149999998,4441.7,4436.89990234375,10.818584511483373,-14.234095511483373
2026-01-06,0.0009741842,9.741842,3555.77233,4506.8,4482.2001953125,54.883324295123494,-45.141482295123495
2026-01-07,0.0018053145,18.053145,6589.397925,4471.8,4449.2998046875,50.57019373878875,-32.51704873878875
2026-01-08,0.0004789764,4.789764,1748.26386,4484.1,4449.7001953125,77.30814027367182,-72.51837627367182
2026-01-09,0.0007792728,7.792727999999999,2844.34572,4511.6,4490.2998046875,47.436020397267754,-39.64329239726776
2026-01-12,0.0014319101,14.319101,5226.4718649999995,4600.2,4604.2998046875,-8.904295683192249,23.22339668319225
