date,daily_funding,daily_funding_bps,ann_funding_bps,perp_close,spot_close,basis_bps,ann_basis_bps,ann_total_bps
2025-12-03,0.0007654841,7.654841,2794.0169650000003,320.76,319.42108154296875,41.91703473557767,509.9905892828617,3304.0075542828617
2025-12-04,0.0010881929,10.881929000000001,3971.9040850000006,317.57,317.4123840332031,4.965652719472365,60.415441420247106,4032.3195264202477
2025-12-05,0.00029741990000000003,2.9741990000000005,1085.5826350000002,320.37,321.0599670410156,-21.490285673874645,-261.46514236547483,824.1174926345254
2025-12-08,0.00042401989999999996,4.240199,1547.672635,314.56,313.7200012207031,26.775429555922234,325.76772626372053,1873.4403612637204
2025-12-09,0.00022711240000000002,2.2711240000000004,828.9602600000002,316.82,317.0799865722656,-8.199400254685527,-99.75936976534058,729.2008902346596
2025-12-10,0.00013261700000000002,1.3261700000000003,484.0520500000001,319.89,320.2099914550781,-9.993175216802374,-121.58363180442889,362.46841819557125
2025-12-11,0.00030000000000000003,3.0000000000000004,1095.0000000000002,313.59,312.42999267578125,37.12855204085679,451.7307164970909,1546.7307164970912
2025-12-12,0.00022158840000000002,2.2158840000000004,808.7976600000002,308.23,309.2900085449219,-34.27231774827602,-416.97986593735834,391.81779406264184
2025-12-15,0.0001699883,1.699883,620.457295,307.62,308.2200012207031,-19.4666542835254,-236.84429378289235,383.6130012171077
2025-12-16,0.00022390620000000002,2.239062,817.2576300000001,305.94,306.57000732421875,-20.550194381946714,-250.02736498035168,567.2302650196484
2025-12-17,0.00022002140000000001,2.2002140000000003,803.0781100000002,296.56,296.7200012207031,-5.392330144408173,-65.60668342363277,737.4714265763673
2025-12-18,-7.08108e-05,-0.708108,-258.45941999999997,302.05,302.4599914550781,-13.555229341431964,-164.92195698742225,-423.3813769874222
2025-12-19,0.00022968360000000002,2.2968360000000003,838.3451400000001,307.65,307.1600036621094,15.952478579523055,194.08848938419717,1032.4336293841973
2025-12-22,0.0007936741,7.936741,2896.910465,309.94,309.7799987792969,5.164995200904361,62.84077494433639,2959.7512399443362
2025-12-23,0.0001485543,1.485543,542.223195,314.96,314.3500061035156,19.404927139829073,236.09328020125375,778.3164752012538
