date,daily_funding,daily_funding_bps,ann_funding_bps,perp_close,spot_close,basis_bps,ann_basis_bps,ann_total_bps
2025-12-03,0.0001241026,1.241026,452.97449,277.59,276.9200134277344,24.194227205627413,294.3630976684668,747.3375876684668
2025-12-04,-0.0008883828,-8.883828,-3242.5972199999997,273.15,274.04998779296875,-32.840278527896494,-399.55672208940734,-3642.153942089407
2025-12-05,-0.0006240804,-6.240804,-2277.89346,270.35,269.7300109863281,22.9855406673054,279.6574114522157,-1998.236048547784
2025-12-08,0.0003314517,3.314517,1209.798705,274.05,274.20001220703125,-5.470904462176822,-66.56267095648467,1143.2360340435152
2025-12-09,0.0006149686,6.149686,2244.63539,277.36,277.3599853515625,0.0005281380980416143,0.00642568019283964,2244.641815680193
2025-12-10,0.00032767230000000004,3.2767230000000005,1196.0038950000003,273.53,275.0899963378906,-56.70858114282435,-689.954403904363,506.04949109563734
2025-12-11,-0.0007718939,-7.718939000000001,-2817.4127350000003,269.79,269.0199890136719,28.62281680819683,348.2442711663948,-2469.1684638336055
2025-12-12,0.00027687160000000003,2.7687160000000004,1010.5813400000002,266.92,267.4599914550781,-20.189616104463408,-245.64032927097148,764.9410107290287
2025-12-15,-0.00025467670000000003,-2.5467670000000004,-929.5699550000002,250.41,250.4199981689453,-0.39925601063900124,-4.857614796107848,-934.4275697961081
2025-12-16,0.0004410806,4.410806,1609.94419,252.44,252.61000061035156,-6.729765644305945,-81.87881533905566,1528.0653746609444
2025-12-17,0.0002901245,2.9012450000000003,1058.9544250000001,247.14,244.19000244140625,120.80746668986143,1469.8241780599808,2528.778603059981
2025-12-18,0.0001999883,1.999883,729.957295,240.67,239.1999969482422,61.454977864229555,747.7022306814595,1477.6595256814594
2025-12-19,0.00028671780000000003,2.8671780000000004,1046.51997,246.56,245.1199951171875,58.74693666357417,714.7543960734857,1761.274366073486
2025-12-22,0.000263648,2.63648,962.3152,248.12,247.89999389648438,8.874792615263134,107.97664348570146,1070.2918434857015
2025-12-23,0.0001376374,1.376374,502.37651,241.38,242.3000030517578,-37.96958481924966,-461.96328196753757,40.41322803246243
