date,daily_funding,daily_funding_bps,ann_funding_bps,perp_close,spot_close,basis_bps,ann_basis_bps,ann_total_bps
2025-12-22,0.0004298579,4.298579,1568.981335,4463.0,4444.60009765625,41.39833042224144,503.67968680393756,2072.6610218039377
2025-12-23,0.000736677,7.366770000000001,2688.87105,4507.2,4482.7998046875,54.430704862138676,662.2402424893539,3351.111292489354
2025-12-24,0.0002695015,2.695015,983.6804750000001,4485.0,4480.60009765625,9.819895210133879,119.47539172329552,1103.1558667232957
2025-12-26,0.0007397274,7.3972739999999995,2700.00501,4537.4,4529.10009765625,18.325720705631404,222.96293525184876,2922.9679452518485
2025-12-29,0.000337785,3.37785,1232.91525,4347.4,4325.10009765625,51.559274560683214,627.3045071549791,1860.219757154979
2025-12-30,0.0004375583,4.375583,1597.087795,4337.3,4370.10009765625,-75.05571250837252,-913.1778355185323,683.9099594814676
2025-12-31,0.0001027945,1.027945,375.19992500000006,4318.7,4325.60009765625,-15.951769697778762,-194.07986465630827,181.1200603436918
2026-01-02,-0.0001080197,-1.080197,-394.271905,4335.2,4314.39990234375,48.21087086746501,586.5655955541577,192.29369055415765
2026-01-05,-0.0003415511,-3.415511,-1246.661515,4441.7,4436.89990234375,10.818584511483373,131.62611155638103,-1115.035403443619
2026-01-06,0.0009741842,9.741842,3555.7723300000002,4506.8,4482.2001953125,54.883324295123494,667.7471122573359,4223.519442257336
2026-01-07,0.0018053145,18.053145,6589.397925,4471.8,4449.2998046875,50.57019373878875,615.2706904885965,7204.6686154885965
2026-01-08,0.0004789764,4.789764,1748.26386,4484.1,4449.7001953125,77.30814027367182,940.5823733296738,2688.846233329674
2026-01-09,0.0007792728,7.792727999999999,2844.34572,4511.6,4490.2998046875,47.436020397267754,577.1382481667576,3421.483968166757
2026-01-12,0.0014319101,14.319101,5226.4718649999995,4600.2,4604.2998046875,-8.904295683192249,-108.33559747883903,5118.13626752116
