date,daily_funding,daily_funding_bps,ann_funding_bps,perp_close,spot_close,basis_bps,ann_basis_bps,ann_total_bps
2025-12-03,0.0007824671,7.824671,2856.004915,447.81,446.739990234375,23.951510700074977,291.4100468509122,3147.4149618509123
2025-12-04,0.0020454209,20.454209,7465.786284999999,453.51,454.5299987792969,-22.440736189827554,-273.02895697623524,7192.757328023764
2025-12-05,0.0009114283,9.114283,3326.713295,454.42,455.0,-12.747252747252396,-155.09157509157083,3171.621719908429
2025-12-08,0.000510651,5.10651,1863.87615,440.12,439.5799865722656,12.284759184449426,149.464570077468,2013.3407200774682
2025-12-09,0.0004945167,4.945167,1804.9859549999999,445.01,445.1700134277344,-3.5944341017560357,-43.73228157136511,1761.2536734286348
2025-12-10,-1.7516699999999977e-05,-0.17516699999999977,-63.935954999999915,449.55,451.45001220703125,-42.08687907089719,-512.0570286959158,-575.9929836959158
2025-12-11,0.00020697140000000002,2.0697140000000003,755.4456100000001,446.23,446.8900146484375,-14.769062337557635,-179.69025844028457,575.7553515597156
2025-12-12,0.0004459932,4.459932,1627.87518,456.2,458.9599914550781,-60.13577450025461,-731.6519230864311,896.2232569135689
2025-12-15,-0.0001238607,-1.238607,-452.091555,473.38,475.30999755859375,-40.60502763474557,-494.0278362227378,-946.1193912227378
2025-12-16,0.0005067404,5.067404,1849.6024599999998,486.45,489.8800048828125,-70.01724603217937,-851.8764933915157,997.7259666084841
2025-12-17,0.0007707796000000001,7.707796000000001,2813.3455400000003,467.17,467.260009765625,-1.9263314587981213,-23.437032748710475,2789.90850725129
2025-12-18,9.33502e-05,0.933502,340.72823,485.06,483.3699951171875,34.9629662553378,425.38275610660986,766.1109861066099
2025-12-19,0.0007946395,7.946395000000001,2900.4341750000003,483.35,481.20001220703125,44.67971193740874,543.6031619051397,3444.03733690514
2025-12-22,0.0002442751,2.442751,891.604115,489.83,488.7300109863281,22.50708957798441,273.83625653214364,1165.4403715321437
2025-12-23,0.0004077878,4.077878,1488.4254700000001,485.58,485.55999755859375,0.4119458255788532,5.012007544542714,1493.4374775445428
