date,daily_funding,daily_funding_bps,ann_funding_bps,perp_close,spot_close,basis_bps,ann_basis_bps,ann_total_bps
2025-12-03,0.000677156,6.771560000000001,2471.6194000000005,640.62,639.0787353515625,24.11697594021247,293.42320727258505,2765.0426072725854
2025-12-04,0.0005095306,5.095306,1859.78669,661.98,660.990966796875,14.962885316236884,182.0484380142154,2041.8351280142153
2025-12-05,0.0001424502,1.4245020000000002,519.9432300000001,670.54,672.8712158203125,-34.64579499764302,-421.52383913799014,98.41939086200995
2025-12-08,0.0003341447,3.341447,1219.628155,665.56,666.256591796875,-10.455308141813147,-127.20624905872661,1092.4219059412735
2025-12-09,0.00022911170000000002,2.2911170000000003,836.2577050000001,655.07,656.4246826171875,-20.63728944174196,-251.08702154119385,585.1706834588063
2025-12-10,0.0002632216,2.632216,960.7588400000001,645.04,649.6002197265625,-70.20040307994475,-854.1049041393278,106.65393586067228
2025-12-11,-0.0002553271,-2.553271,-931.9439150000001,652.57,652.1781005859375,6.009085765229699,73.11054347696134,-858.8333715230387
2025-12-12,0.0002752917,2.752917,1004.814705,642.58,643.7050170898438,-17.477214872890872,-212.6394476201723,792.1752573798277
2025-12-15,0.0004556575,4.556575,1663.1498749999998,646.25,647.510009765625,-19.459309456560796,-236.75493172148967,1426.3949432785103
2025-12-16,0.0002706787,2.7067870000000003,987.9772550000001,656.2,657.1500244140625,-14.456735581947651,-175.8902829136964,812.0869720863037
2025-12-17,0.0007480868,7.480868,2730.51682,649.5,649.5,0.0,0.0,2730.51682
2025-12-18,0.00021912180000000002,2.191218,799.79457,663.07,664.4500122070312,-20.76924044966699,-252.6924254709484,547.1021445290517
2025-12-19,0.0002828139,2.828139,1032.270735,661.96,658.77001953125,48.42327935657846,589.1498988383712,1621.4206338383713
2025-12-22,0.0001473182,1.473182,537.71143,661.3,661.5,-3.0234315948608534,-36.785084404140385,500.9263455958596
2025-12-23,0.00014375,1.4375,524.6875,664.83,664.9400024414062,-1.6543213072205316,-20.12757590451647,504.55992409548355
