symbol,unlock_date,category,unlock_amount,total_supply,unlock_pct_supply,open_price,avg_daily_volume_usd,pre7_return,pre_return_-7,pre_return_-6,pre_return_-5,pre_return_-4,pre_return_-3,pre_return_-2,pre_return_-1,return_0,btc_return_0,excess_return_0,return_1,btc_return_1,excess_return_1,return_2,btc_return_2,excess_return_2,return_3,btc_return_3,excess_return_3,return_4,btc_return_4,excess_return_4,return_5,btc_return_5,excess_return_5,return_6,btc_return_6,excess_return_6,return_7,btc_return_7,excess_return_7,return_8,btc_return_8,excess_return_8,return_9,btc_return_9,excess_return_9,return_10,btc_return_10,excess_return_10,return_11,btc_return_11,excess_return_11,return_12,btc_return_12,excess_return_12,return_13,btc_return_13,excess_return_13,return_14,btc_return_14,excess_return_14
SUI,2024-06-03,VC,64363000,10000000000,0.6436,1.0165,34385415.0,-0.024568,0.030998,-0.011228,-0.024472,-0.027831,-0.01785,-0.017274,-0.024568,0.023119,-1.8e-05,0.023136,0.036891,0.015392,0.021499,0.086178,0.04089,0.045288,0.09513,0.049304,0.045827,0.063453,0.044745,0.018708,0.086178,0.023445,0.062734,0.076242,0.022778,0.053464,0.017019,0.027761,-0.010742,-0.024004,0.026166,-0.05017,0.001968,-0.006679,0.008646,-0.049877,0.007336,-0.057213,-0.085686,-0.014665,-0.071021,,-0.025423,,,-0.022704,,,-0.016084,
SUI,2024-07-03,VC,64363000,10000000000,0.6436,0.8256,19981843.0,-0.06023,-0.055334,-0.04725,-0.099624,-0.109074,-0.066264,-0.078675,-0.06023,-0.060078,-0.012155,-0.047923,-0.184109,-0.042789,-0.14132,-0.220082,-0.093005,-0.127078,-0.159641,-0.099701,-0.05994,-0.224806,-0.074243,-0.150563,-0.184351,-0.111959,-0.072392,-0.099564,-0.098337,-0.001227,-0.106226,-0.077107,-0.029119,-0.084545,-0.08226,-0.002285,-0.093629,-0.088396,-0.005233,-0.082001,-0.079665,-0.002336,-0.022166,-0.05876,0.036594,,-0.03342,,,0.029001,,,0.034086,
PYTH,2024-05-20,OTC,2500000000,10000000000,25.0,0.3819,22101059.0,-0.130237,-0.039162,-0.089936,0.021858,-0.032559,0.005009,0.002277,-0.130237,0.214192,-0.009582,0.223774,0.214454,0.067719,0.146735,0.21812,0.048317,0.169803,0.153705,0.033646,0.120059,0.136947,0.015758,0.121189,0.159466,0.024431,0.135035,0.153705,0.035498,0.118207,0.171249,0.023798,0.147451,0.146112,0.037678,0.108434,0.112071,0.022165,0.089906,0.073318,0.011017,0.0623,0.061011,0.021474,0.039536,,0.009337,,,0.012727,,,0.012709,
STRK,2024-06-15,VC,64000000,10000000000,0.64,0.944,22282084.0,-0.218076,-0.063018,-0.031509,-0.072139,-0.141791,-0.11194,-0.181592,-0.218076,-0.010593,-0.010918,0.000325,-0.009534,-0.008158,-0.001376,-0.157839,-0.00144,-0.156399,-0.220339,-0.004024,-0.216315,-0.224576,-0.023927,-0.200649,-0.231992,-0.026937,-0.205055,-0.238347,-0.0285,-0.209848,-0.238347,-0.039379,-0.198969,-0.261653,-0.037605,-0.224048,-0.226695,-0.05336,-0.173335,-0.23411,-0.097041,-0.137069,-0.257415,-0.074386,-0.183029,,-0.088479,,,-0.075877,,,-0.095026,
JUP,2025-01-31,VC,1000000000,10000000000,10.0,1.0936,107447155.0,0.373226,0.058772,0.219641,0.322743,0.411152,0.407384,0.368077,0.373226,-0.051664,0.009541,-0.061205,-0.155358,-0.012568,-0.142791,-0.16304,-0.029861,-0.133178,-0.079005,-0.058156,-0.02085,-0.122165,-0.023182,-0.098983,-0.191569,-0.057553,-0.134017,-0.243416,-0.068645,-0.174771,-0.267831,-0.069205,-0.198626,-0.23162,-0.069664,-0.161957,-0.23857,-0.070262,-0.168308,-0.236467,-0.070088,-0.166378,-0.246434,-0.060756,-0.185678,,-0.076688,,,-0.056522,,,-0.068687,
ZK,2025-06-17,VC,3675000000,21000000000,17.5,0.0486,4225412.0,-0.14587,0.029877,-0.033392,-0.084359,-0.112478,-0.094903,-0.123023,-0.14587,-0.018519,0.011369,-0.029888,-0.053498,-0.009876,-0.043622,-0.067901,-0.006698,-0.061204,-0.106996,-0.008859,-0.098137,-0.160494,-0.021744,-0.13875,-0.203704,-0.0329,-0.170804,-0.078189,-0.043849,-0.034341,-0.047325,-0.002463,-0.044862,-0.09465,0.004631,-0.099281,-0.055556,0.01654,-0.072096,-0.090123,0.012814,-0.102937,-0.039712,0.013766,-0.053478,,0.016126,,,0.026165,,,0.014702,
ENA,2025-04-05,OTC,180000000,15000000000,1.2,0.3186,46062313.0,-0.173067,-0.055267,-0.040477,-0.108199,-0.042034,-0.141412,-0.183705,-0.173067,0.00408,0.008133,-0.004053,-0.132768,0.003904,-0.136673,-0.082549,-0.05748,-0.025069,-0.135907,-0.048668,-0.087239,-0.006591,-0.082808,0.076216,-0.050534,-0.007185,-0.043349,-0.009416,-0.043332,0.033916,0.074388,0.002533,0.071855,-0.033584,0.024802,-0.058386,-0.070621,0.006572,-0.077194,-0.140615,0.016566,-0.157181,-0.151601,0.005178,-0.156779,,0.009822,,,0.020848,,,0.015161,
EIGEN,2025-09-30,VC,86000000,1674203671,5.1368,1.648,34525558.0,-0.091561,-0.083287,-0.01048,-0.058467,-0.029233,0.041368,0.041919,-0.091561,-0.120752,0.019151,-0.139903,-0.07949,0.016805,-0.096296,0.080704,0.057336,0.023368,0.158981,0.074582,0.084399,0.195995,0.089762,0.106233,0.131675,0.091179,0.040495,0.178398,0.100909,0.077489,0.194175,0.111396,0.082779,0.120146,0.081746,0.038399,0.087985,0.099337,-0.011352,-0.276699,0.084684,-0.361383,-0.315534,0.005443,-0.320977,,-0.013548,,,0.024917,,,0.026765,
IMX,2024-01-24,VC,36332000,2000000000,1.8166,1.8637,7415898.0,-0.106172,-0.018031,-0.072076,-0.070925,-0.079653,-0.080516,-0.146262,-0.106172,-0.001556,0.008329,-0.009885,-0.020282,0.013063,-0.033345,0.020229,0.009934,0.010295,0.040457,0.057003,-0.016546,0.022697,0.064512,-0.041815,0.089607,0.062248,0.027358,0.076675,0.094386,-0.017711,0.036916,0.085248,-0.048332,0.095616,0.076122,0.019495,0.169072,0.088832,0.08024,0.138059,0.091791,0.046268,0.129796,0.087016,0.042779,,0.076194,,,0.079374,,,0.089237,
IMX,2024-07-24,VC,36332000,2000000000,1.8166,1.53,3838930.0,0.026037,0.059254,0.019393,0.086364,0.101262,0.1224,0.038787,0.026037,-0.031373,-0.023633,-0.007739,-0.047059,-0.031926,-0.015133,0.006536,-0.025648,0.032184,-0.026144,0.005568,-0.031711,-0.060131,0.005397,-0.065528,-0.022876,0.01063,-0.033506,-0.072549,-0.011066,-0.061483,-0.088889,-0.019902,-0.068987,-0.101307,-0.043002,-0.058305,-0.165359,-0.032251,-0.133108,-0.213072,-0.089345,-0.123727,-0.280392,-0.101197,-0.179196,,-0.138764,,,-0.200101,,,-0.170438,
