symbol,unlock_date,category,unlock_pct_supply,day_offset,date,open,close,volume,quote_volume
ARB,2024-03-16,VC,11.1,-7,2024-03-09,2.1336,2.0962,67668912.3,143839869.25974
ARB,2024-03-16,VC,11.1,-6,2024-03-10,2.0962,2.068,87583497.1,181255513.42993
ARB,2024-03-16,VC,11.1,-5,2024-03-11,2.0679,2.083,108623349.2,224372598.27352
ARB,2024-03-16,VC,11.1,-4,2024-03-12,2.0831,2.0173,102885481.9,206339582.0339
ARB,2024-03-16,VC,11.1,-3,2024-03-13,2.0175,2.1152,168992357.0,362165662.841
ARB,2024-03-16,VC,11.1,-2,2024-03-14,2.1153,2.0155,132983062.4,269195030.84986
ARB,2024-03-16,VC,11.1,-1,2024-03-15,2.0156,1.8879,135415738.5,256732147.60657
ARB,2024-03-16,VC,11.1,0,2024-03-16,1.8882,1.7566,175292131.7,324569103.8667
ARB,2024-03-16,VC,11.1,1,2024-03-17,1.7565,1.7363,144456137.2,247255418.93204
ARB,2024-03-16,VC,11.1,2,2024-03-18,1.7364,1.6232,179355757.9,299482544.17366
ARB,2024-03-16,VC,11.1,3,2024-03-19,1.6231,1.6247,295931377.0,466173354.10298
ARB,2024-03-16,VC,11.1,4,2024-03-20,1.6247,1.7458,244878049.9,405988865.07452
ARB,2024-03-16,VC,11.1,5,2024-03-21,1.7458,1.6843,149134786.4,259206258.90802
ARB,2024-03-16,VC,11.1,6,2024-03-22,1.6842,1.6041,107584385.5,174630490.69258
ARB,2024-03-16,VC,11.1,7,2024-03-23,1.6043,1.5952,68251292.6,110139150.26603
ARB,2024-04-16,VC,0.925,-7,2024-04-09,1.5695,1.4841,78145126.8,120664818.71877
ARB,2024-04-16,VC,0.925,-6,2024-04-10,1.4839,1.4662,62140670.8,90756681.5648
ARB,2024-04-16,VC,0.925,-5,2024-04-11,1.4665,1.4183,41790730.4,60339884.8131
ARB,2024-04-16,VC,0.925,-4,2024-04-12,1.4184,1.1737,205548273.4,246575061.77024
ARB,2024-04-16,VC,0.925,-3,2024-04-13,1.1737,1.0314,288973969.5,301580661.47904
ARB,2024-04-16,VC,0.925,-2,2024-04-14,1.0313,1.1795,207110317.3,228453406.4032
ARB,2024-04-16,VC,0.925,-1,2024-04-15,1.1796,1.1526,131614095.6,157291810.5187
ARB,2024-04-16,VC,0.925,0,2024-04-16,1.1527,1.154,94535939.9,106774935.64727
ARB,2024-04-16,VC,0.925,1,2024-04-17,1.1541,1.1059,63633586.2,71388253.5142
ARB,2024-04-16,VC,0.925,2,2024-04-18,1.1059,1.1383,56475058.6,63863134.34516
ARB,2024-04-16,VC,0.925,3,2024-04-19,1.1385,1.1196,87265793.4,97910646.92917
