symbol,unlock_date,category,unlock_amount,total_supply,circulating_supply,unlock_pct_supply,unlock_pct_circulating,open_price,avg_daily_volume_usd,pre7_return,pre_return_-7,excess_pre_return_-7,bps_per_day_pre_-7,pre_return_-6,excess_pre_return_-6,bps_per_day_pre_-6,pre_return_-5,excess_pre_return_-5,bps_per_day_pre_-5,pre_return_-4,excess_pre_return_-4,bps_per_day_pre_-4,pre_return_-3,excess_pre_return_-3,bps_per_day_pre_-3,pre_return_-2,excess_pre_return_-2,bps_per_day_pre_-2,pre_return_-1,excess_pre_return_-1,bps_per_day_pre_-1,pre7_excess_return,pre7_bps_per_day,pre7_annualized,return_0,btc_return_0,excess_return_0,bps_per_day_0,annualized_0,return_1,btc_return_1,excess_return_1,bps_per_day_1,annualized_1,return_2,btc_return_2,excess_return_2,bps_per_day_2,annualized_2,return_3,btc_return_3,excess_return_3,bps_per_day_3,annualized_3,return_4,btc_return_4,excess_return_4,bps_per_day_4,annualized_4,return_5,btc_return_5,excess_return_5,bps_per_day_5,annualized_5,return_6,btc_return_6,excess_return_6,bps_per_day_6,annualized_6,return_7,btc_return_7,excess_return_7,bps_per_day_7,annualized_7
AVAX,2024-01-01,VC,9500000,720000000,391000000.0,1.3194,2.4297,38.57,162305790.0,-0.191485,0.010487,0.01337,133.7,-0.068582,-0.057357,-573.57,-0.110948,-0.107568,-1075.68,-0.165268,-0.166558,-1665.58,-0.157299,-0.125939,-1259.39,-0.175126,-0.165177,-1651.77,-0.191485,-0.196635,-1966.35,-0.159025,-227.18,-8.292018,0.087374,0.0034,0.083973,839.73,30.650254,0.052891,0.048392,0.004499,22.49,0.821009,-0.045891,0.066602,-0.112492,-374.97,-13.686576,0.003889,0.016728,-0.012839,-32.1,-1.171593,-0.054706,0.047717,-0.102423,-204.85,-7.476862,-0.10267,0.047575,-0.150245,-250.41,-9.139927,-0.12782,0.04338,-0.171199,-244.57,-8.926814,-0.064558,0.042447,-0.107005,-133.76,-4.882102
SEI,2024-08-15,VC,900000000,10000000000,2590000000.0,9.0,34.749,0.2822,19873380.0,0.196694,0.235693,0.13459,1345.9,0.226367,0.122905,1229.05,0.266214,0.278575,2785.75,0.136499,0.171434,1714.34,0.291225,0.317108,3171.08,0.247139,0.215211,2152.11,0.196694,0.207869,2078.69,0.149188,213.13,7.779089,-0.024805,-0.031422,0.006617,66.17,2.415169,-0.053508,-0.050276,-0.003232,-16.16,-0.589807,-0.042169,-0.028266,-0.013903,-46.34,-1.691485,-0.05528,-0.018076,-0.037204,-93.01,-3.394865,-0.054217,-0.035648,-0.018569,-37.14,-1.355529,-0.061658,-0.018959,-0.0427,-71.17,-2.597559,-0.007796,-0.025969,0.018173,25.96,0.947574,0.008859,0.009389,-0.00053,-0.66,-0.024196
TIA,2024-10-30,VC,175586000,1000000000,192000000.0,17.5586,91.451,5.277,48638823.0,-0.088616,0.031957,0.042478,424.78,0.059769,0.048315,483.15,-0.084643,-0.085088,-850.88,-0.06806,-0.05185,-518.5,-0.114009,-0.133851,-1338.51,-0.121092,-0.16386,-1638.6,-0.088616,-0.157928,-1579.28,-0.168152,-240.22,-8.767926,-0.097214,0.039653,-0.136867,-1368.67,-49.956566,-0.077696,0.034055,-0.11175,-558.75,-20.394409,-0.137389,0.004714,-0.142103,-473.68,-17.289155,-0.112943,-0.006664,-0.106279,-265.7,-9.697992,-0.136631,-0.008397,-0.128234,-256.47,-9.36106,-0.199924,-0.016955,-0.182969,-304.95,-11.130617,-0.199166,-0.030191,-0.168976,-241.39,-8.810871,-0.030699,-0.008436,-0.022263,-27.83,-1.015762
ALT,2024-03-25,VC,518400000,10000000000,851000000.0,5.184,60.9166,0.50072,72585924.0,-0.085149,-0.123638,-0.159003,-1590.03,-0.177882,-0.083486,-834.86,-0.139868,-0.143277,-1432.77,-0.05768,-0.115219,-1152.19,-0.107994,-0.048386,-483.86,-0.087287,-0.064215,-642.15,-0.085149,-0.138652,-1386.52,-0.114388,-163.41,-5.964517,0.189966,0.05032,0.139647,1396.47,50.970998,0.273167,0.092045,0.181121,905.61,33.054618,0.210537,0.093733,0.116804,389.35,14.211126,0.328966,0.085638,0.243328,608.32,22.203717,0.211056,0.106119,0.104937,209.87,7.66038,0.199073,0.091585,0.107488,179.15,6.538879,0.227512,0.087391,0.140121,200.17,7.306323,0.141896,0.113924,0.027972,34.96,1.276214
WLD,2024-03-24,OTC,101695000,10000000000,154000000.0,1.017,66.0357,8.454,135232687.0,0.001896,0.13214,0.148059,1480.59,0.039109,0.003744,37.44,-0.111164,-0.016768,-167.68,-0.010073,-0.013483,-134.83,-0.045508,-0.103048,-1030.48,-0.052619,0.006989,69.89,0.001896,0.024969,249.69,0.081174,115.96,4.232644,0.000828,0.003031,-0.002203,-22.03,-0.804105,0.024131,0.053504,-0.029373,-146.87,-5.360575,0.034303,0.095356,-0.061052,-203.51,-7.428037,-0.003549,0.097048,-0.100597,-251.49,-9.179475,-0.00485,0.088929,-0.093778,-187.56,-6.845826,-0.009818,0.109472,-0.11929,-198.82,-7.256812,-0.040336,0.094894,-0.13523,-193.19,-7.05126,-0.028034,0.090687,-0.118721,-148.4,-5.416659
DYDX,2024-02-03,VC,150000000,1000000000,170000000.0,15.0,88.2353,2.832,18644706.0,0.056343,0.018284,-0.035757,-357.57,-0.002985,-0.007948,-79.48,0.031716,0.003652,36.52,0.040672,0.01902,190.2,-0.018284,-0.001594,-15.94,-0.006343,-0.009646,-96.46,0.056343,0.041782,417.82,-0.024709,-35.3,-1.288398,-0.054025,0.002717,-0.056742,-567.42,-20.710931,-0.074506,-0.001668,-0.072838,-364.19,-13.292881,-0.032486,-0.011607,-0.020879,-69.6,-2.540246,-0.014124,-0.008687,-0.005438,-13.59,-0.496178,0.010946,0.000371,0.010575,21.15,0.771971,-0.012359,0.0294,-0.041759,-69.6,-2.54034,0.058263,0.051197,0.007066,10.09,0.368448,0.038489,0.094001,-0.055512,-69.39,-2.532727
BLUR,2024-02-14,VC,300000000,3000000000,560000000.0,10.0,53.5714,0.692,27575515.0,0.192248,0.04255,0.004129,41.29,0.071318,0.020512,205.12,0.101981,0.039226,392.26,0.074419,0.020047,200.47,0.062188,0.037423,374.23,0.103876,0.058512,585.12,0.192248,0.163271,1632.71,0.02856,40.8,1.4892,0.078613,-0.004361,0.082974,829.74,30.285412,0.061272,0.03762,0.023652,118.26,4.316424,0.034827,0.039319,-0.004493,-14.98,-0.546631,0.026445,0.04421,-0.017765,-44.41,-1.621025,0.141474,0.034564,0.10691,213.82,7.804401,0.129913,0.044481,0.085432,142.39,5.197108,0.099422,0.037211,0.062211,88.87,3.24388,0.029624,0.046908,-0.017284,-21.61,-0.788588
UNI,2024-04-17,VC,43000000,1000000000,601000000.0,4.3,7.1547,7.182,49378038.0,-0.358698,-0.103747,-0.089939,-899.39,-0.184746,-0.197187,-1971.87,-0.29331,-0.24355,-2435.5,-0.383586,-0.296712,-2967.12,-0.328903,-0.307229,-3072.29,-0.353524,-0.345631,-3456.31,-0.358698,-0.330242,-3302.42,-0.249418,-356.31,-13.005367,-0.040796,0.005888,-0.046684,-466.84,-17.039722,0.015873,-0.033785,0.049658,248.29,9.062518,0.043024,0.00079,0.042234,140.78,5.13852,0.096213,0.006276,0.089937,224.84,8.206734,0.076441,0.023977,0.052464,104.93,3.829904,0.141743,0.023985,0.117758,196.26,7.163596,0.106656,0.0536,0.053055,75.79,2.766452,0.074909,0.047209,0.0277,34.63,1.263824
RNDR,2024-04-01,VC,5000000,536870912,379000000.0,0.9313,1.3193,10.653,68715728.0,-0.024984,0.010433,-0.081613,-816.13,0.016839,-0.024494,-244.94,0.027455,0.033322,333.22,0.022605,0.01128,112.8,0.002196,-0.003282,-32.82,-0.023337,-0.006405,-64.05,-0.024984,-0.045449,-454.49,-0.138908,-198.44,-7.24306,-0.054163,0.024401,-0.078564,-785.64,-28.675732,-0.113583,0.000972,-0.114555,-572.77,-20.906283,-0.12175,-0.059184,-0.062565,-208.55,-7.612115,-0.098188,-0.052009,-0.046179,-115.45,-4.213873,-0.133859,-0.015728,-0.118131,-236.26,-8.623572,-0.104384,-0.025316,-0.079068,-131.78,-4.809947,-0.083451,-0.009861,-0.073589,-105.13,-3.837161,-0.032198,-0.003187,-0.02901,-36.26,-1.32359
AXS,2024-01-22,VC,6000000,270000000,60000000.0,2.2222,10.0,7.79,7970051.0,0.0,0.008986,0.016848,168.48,0.066752,0.033071,330.71,0.037227,0.030994,309.94,-0.025674,0.016295,162.95,-0.025674,0.00044,4.4,0.001284,-0.007634,-76.34,0.0,0.001889,18.89,0.029585,42.26,1.542646,-0.068036,-0.002775,-0.065261,-652.61,-23.820127,-0.092426,-0.051037,-0.041389,-206.95,-7.553576,-0.077022,-0.043132,-0.033889,-112.96,-4.123215,-0.087291,-0.038641,-0.048651,-121.63,-4.439364,-0.05905,-0.04161,-0.01744,-34.88,-1.273147,-0.056483,0.003057,-0.05954,-99.23,-3.62199,-0.065469,0.010183,-0.075651,-108.07,-3.944674,-0.038511,0.008035,-0.046545,-58.18,-2.123638
APE,2023-03-17,VC,15607000,1000000000,289000000.0,1.5607,5.4003,4.111,20899875.0,0.031093,0.011284,0.082868,828.68,-0.05341,-0.058003,-580.03,0.131645,0.040014,400.14,0.119107,-0.059706,-597.06,0.070712,-0.05077,-507.7,0.027081,0.01989,198.9,0.031093,0.017783,177.83,-0.120693,-172.42,-6.293278,0.07857,0.029364,0.049206,492.06,17.960139,0.034055,0.128037,-0.093982,-469.91,-17.151772,0.040866,0.107958,-0.067092,-223.64,-8.162857,-0.012892,0.151827,-0.164719,-411.8,-15.030597,0.004622,0.141291,-0.136669,-273.34,-9.97687,-0.029676,0.157287,-0.186963,-311.61,-11.37359,0.012406,0.122101,-0.109696,-156.71,-5.719838,-0.005595,0.165108,-0.170702,-213.38,-7.7883
LDO,2023-05-25,VC,22965000,1000000000,878000000.0,2.2965,2.6156,2.053,20024061.0,-0.13014,-0.095803,-0.08794,-879.4,-0.077999,-0.058829,-588.29,-0.089021,-0.099503,-995.03,-0.122933,-0.118005,-1180.05,-0.140738,-0.131397,-1313.97,-0.135227,-0.152867,-1528.67,-0.13014,-0.110762,-1107.62,-0.104068,-148.67,-5.426403,-0.019971,-0.032719,0.012748,127.48,4.653124,-0.030687,-0.0274,-0.003287,-16.43,-0.599823,-0.038967,-0.018872,-0.020095,-66.98,-2.444929,0.021432,-0.013422,0.034854,87.13,3.180427,0.062348,0.031058,0.03129,62.58,2.284145,0.05017,0.018986,0.031185,51.97,1.897059,0.018997,0.017443,0.001554,2.22,0.081012,0.014126,-0.00034,0.014466,18.08,0.660005
MAGIC,2023-02-25,VC,30000000,350000000,213000000.0,8.5714,14.0845,1.6298,37963516.0,-0.204381,-0.044448,-0.091826,-918.26,-0.1129,-0.100832,-1008.32,-0.119096,-0.127628,-1276.28,-0.091335,-0.098736,-987.36,-0.112559,-0.085925,-859.25,-0.108607,-0.087729,-877.29,-0.204381,-0.163156,-1631.56,-0.190246,-271.78,-9.91997,-0.014848,-0.031533,0.016685,166.85,6.089918,0.034912,-0.032712,0.067624,338.12,12.341413,0.006811,-0.016096,0.022907,76.36,2.787019,-0.070622,-0.018718,-0.051904,-129.76,-4.736265,0.004234,-0.033359,0.037593,75.19,2.74429,-0.035955,-0.013,-0.022955,-38.26,-1.396431,-0.150571,-0.019836,-0.130735,-186.76,-6.816872,-0.244815,-0.066243,-0.178573,-223.22,-8.147382
GMT,2023-03-09,OTC,600000000,6000000000,600000000.0,10.0,100.0,0.3291,20070684.0,-0.155721,0.085685,0.071695,716.95,0.016932,0.070907,709.07,-0.043099,0.004578,45.78,-0.054643,-0.058039,-580.39,-0.044895,-0.047733,-477.33,-0.08312,-0.072764,-727.64,-0.155721,-0.124307,-1243.07,-0.093663,-133.8,-4.883856,-0.065937,-0.022214,-0.043723,-437.23,-15.959023,-0.061987,-0.082723,0.020736,103.68,3.784347,-0.078092,-0.092252,0.014161,47.2,1.722875,0.039806,-0.078511,0.118316,295.79,10.796379,0.101185,-0.009075,0.11026,220.52,8.048977,0.241568,0.086263,0.155305,258.84,9.4477,0.111516,0.111352,0.000164,0.23,0.008574,0.130356,0.09402,0.036336,45.42,1.657826
